ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_hdr_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip	rtp_seq	rtp_payload_type	rtp_ts	rtp_marker	rtp_ext_flag	rtp_ext_len	rtp_padding_len
1652830550.550352029	142.250.72.173	443		192.168.1.236	55064		246	20	6	0x0018	2844644379	2026337402										
1652830550.551054386	192.168.1.236			193.201.166.129			84	20	1													
1652830550.553202865	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844644573	2026337402										
1652830550.553301456	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844645991	2026337402										
1652830550.553436323	142.250.72.173	443		192.168.1.236	55064		1451	20	6	0x0018	2844647409	2026337402										
1652830550.553539451	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844648808	2026337402										
1652830550.553625283	142.250.72.173	443		192.168.1.236	55064		1082	20	6	0x0018	2844650226	2026337402										
1652830550.553653838	142.250.72.173	443		192.168.1.236	55064		91	20	6	0x0018	2844651256	2026337402										
1652830550.560866556	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026337402	2844651295										
1652830550.566418953	192.168.1.236	55064		142.250.72.173	443		91	20	6	0x0018	2026337402	2844651295										
1652830550.574676985	142.250.72.173	443		192.168.1.236	55064		52	20	6	0x0010	2844651295	2026337441										
1652830550.657621777	192.168.1.236		45038	192.168.1.1		53	61	20	17													
1652830550.659528446	192.168.1.1		53	192.168.1.236		45038	77	20	17					ssl.gstatic.com	142.250.68.99							
1652830550.662723479	192.168.1.236	49390		142.250.68.99	443		60	20	6	0x0002	1371730570	0										
1652830550.662975141	192.168.1.236	49392		142.250.68.99	443		60	20	6	0x0002	4160308365	0										
1652830550.665860365	142.250.68.99	443		192.168.1.236	49390		60	20	6	0x0012	3753999074	1371730571										
1652830550.666074139	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371730571	3753999075										
1652830550.666218988	142.250.68.99	443		192.168.1.236	49392		60	20	6	0x0012	3836972642	4160308366										
1652830550.666311468	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308366	3836972643										
1652830550.670091361	192.168.1.236	49390		142.250.68.99	443		569	20	6	0x0018	1371730571	3753999075	ssl.gstatic.com									
1652830550.670742534	192.168.1.236	49392		142.250.68.99	443		569	20	6	0x0018	4160308366	3836972643	ssl.gstatic.com									
1652830550.673887031	142.250.68.99	443		192.168.1.236	49390		52	20	6	0x0010	3753999075	1371731088										
1652830550.674205970	142.250.68.99	443		192.168.1.236	49392		52	20	6	0x0010	3836972643	4160308883										
1652830550.674962492																						
1652830550.680908864	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0010	3753999075	1371731088										
1652830550.680971992	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731088	3754000493										
1652830550.681050509	142.250.68.99	443		192.168.1.236	49390		1470	20	6	0x0010	3754000493	1371731088										
1652830550.681101249	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731088	3754001911										
1652830550.681149637	142.250.68.99	443		192.168.1.236	49390		1554	20	6	0x0018	3754001911	1371731088										
1652830550.681173488	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731088	3754003413										
1652830550.682141081	142.250.68.99	443		192.168.1.236	49392		1470	20	6	0x0010	3836972643	4160308883										
1652830550.682216469	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308883	3836974061										
1652830550.682280875	142.250.68.99	443		192.168.1.236	49392		1470	20	6	0x0010	3836974061	4160308883										
1652830550.682313763	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308883	3836975479										
1652830550.682363485	142.250.68.99	443		192.168.1.236	49392		1470	20	6	0x0010	3836975479	4160308883										
1652830550.682376799	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308883	3836976897										
1652830550.682406058	142.250.68.99	443		192.168.1.236	49392		136	20	6	0x0018	3836976897	4160308883										
1652830550.682423891	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308883	3836976981										
1652830550.698168487	192.168.1.236	49394		142.250.68.99	443		60	20	6	0x0002	14245781	0										
1652830550.701045601	192.168.1.236	49390		142.250.68.99	443		116	20	6	0x0018	1371731088	3754003413										
1652830550.701243375	142.250.68.99	443		192.168.1.236	49394		60	20	6	0x0012	3527740767	14245782										
1652830550.701309318	192.168.1.236	49394		142.250.68.99	443		52	20	6	0x0010	14245782	3527740768										
1652830550.702299022	192.168.1.236	49392		142.250.68.99	443		116	20	6	0x0018	4160308883	3836976981										
1652830550.703364743	192.168.1.236	49394		142.250.68.99	443		569	20	6	0x0018	14245782	3527740768	ssl.gstatic.com									
1652830550.704287763	142.250.68.99	443		192.168.1.236	49390		660	20	6	0x0018	3754003413	1371731152										
1652830550.704373706	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731152	3754004021										
1652830550.705635627	142.250.68.99	443		192.168.1.236	49392		660	20	6	0x0018	3836976981	4160308947										
1652830550.705717403	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308947	3836977589										
1652830550.707061470	142.250.68.99	443		192.168.1.236	49394		52	20	6	0x0010	3527740768	14246299										
1652830550.709308632	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0011	4160308947	3836977589										
1652830550.709671607	192.168.1.236	49390		142.250.68.99	443		144	20	6	0x0018	1371731152	3754004021										
1652830550.710441778	192.168.1.236	49394		142.250.68.99	443		52	20	6	0x0011	14246299	3527740768										
1652830550.711427797	192.168.1.236	49390		142.250.68.99	443		83	20	6	0x0018	1371731244	3754004021										
1652830550.711638478	192.168.1.236	49390		142.250.68.99	443		403	20	6	0x0018	1371731275	3754004021										
1652830550.711749439	192.168.1.236	49390		142.250.68.99	443		145	20	6	0x0018	1371731626	3754004021										
1652830550.712064896	192.168.1.236	49390		142.250.68.99	443		147	20	6	0x0018	1371731719	3754004021										
1652830550.712218615	142.250.68.99	443		192.168.1.236	49392		52	20	6	0x0011	3836977589	4160308948										
1652830550.712275818	192.168.1.236	49392		142.250.68.99	443		52	20	6	0x0010	4160308948	3836977590										
1652830550.712473870	142.250.68.99	443		192.168.1.236	49390		83	20	6	0x0018	3754004021	1371731244										
1652830550.712519388	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754004052										
1652830550.714492055	142.250.68.99	443		192.168.1.236	49390		52	20	6	0x0010	3754004052	1371731719										
1652830550.715473814	142.250.68.99	443		192.168.1.236	49394		1470	20	6	0x0010	3527740768	14246300										
1652830550.715585794	192.168.1.236	49394		142.250.68.99	443		40	20	6	0x0004	14246300	0										
1652830550.715687255	142.250.68.99	443		192.168.1.236	49394		1470	20	6	0x0010	3527742186	14246300										
1652830550.715739735	192.168.1.236	49394		142.250.68.99	443		40	20	6	0x0004	14246300	0										
1652830550.715786271	142.250.68.99	443		192.168.1.236	49394		1555	20	6	0x0018	3527743604	14246300										
1652830550.715787142	142.250.68.99	443		192.168.1.236	49394		52	20	6	0x0011	3527745107	14246300										
1652830550.715804864	192.168.1.236	49394		142.250.68.99	443		40	20	6	0x0004	14246300	0										
1652830550.715817215	192.168.1.236	49394		142.250.68.99	443		40	20	6	0x0004	14246300	0										
1652830550.717019767	142.250.68.99	443		192.168.1.236	49390		597	20	6	0x0018	3754004052	1371731814										
1652830550.717112802	192.168.1.236	49390		142.250.68.99	443		52	20	6	0x0010	1371731814	3754004597										
1652830550.717182875	142.250.68.99	443		192.168.1.236	49390		282	20	6	0x0018	3754004597	1371731814										
1652830550.717183245	142.250.68.99	443		192.168.1.236	49390		195	20	6	0x0018	3754004827	1371731814										
